stock_code,name,EAN,qty_avail,qty_held,order_qty_min,order_qty_step,price,rrp,special,cost,image,description,category,subcategory,"Custom field 1","Custom field 2","Custom field 3","Custom field 4","Custom field 5","Custom field 6","Custom field 7","Custom field 8","Custom field 9"
BPR-RDSSB0201,"BLUSH ROSE RING 18ct Rose & White Gold=2.50gm P.RBC 11=0.16ct FLP/SI Argyle lot #387567 RBC 8=0.08ct G/SI",BPR-RDSSB0201,7.00,,1,,1510.02,2995.00,,,BPR-RDSSB0201,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 2.50gm","Pink Round Brilliant Cut 11 = 0.16ct FLP/SI","Argyle lot # 387567","Round Brilliant Cut 8 = 0.08ct G/SI",,,"W/H: 5.00 - Appro: 1","MD: 1.00","PS: 1.00"
BPR-RDSSB02W,"18ct White Gold Ring=1.96gm RBC 11=0.088ct H/SI",BPR-RDSSB02W,1.00,,1,,531.31,1250.00,,,BPR-RDSSB02W,,"White Diamonds",Rings,"18ct White Gold Ring = 1.96gm","Round Brilliant Cut 11 = 0.088ct H/SI",,,,,"W/H: 1.00",,
BPR-RDSSB03W,"18ct White Gold Ring=2.50gm RBC 13=0.10 G/SI",BPR-RDSSB03W,1.00,,1,,604.68,1395.00,,,BPR-RDSSB03W,,"White Diamonds",Rings,"18ct White Gold Ring = 2.50gm","Round Brilliant Cut 13 = 0.10 G/SI",,,,,"W/H: 1.00",,
BPR-RDSSB0501,"BLUSH PAISLEY RING 18ct Rose & White Gold=4.12gm P.RBC 7=0.21ct FLP/SIAV Argyle lot #391253 RBC 18=0.10ct G/SI",BPR-RDSSB0501,3.00,,1,,2019.23,5050.00,,,BPR-RDSSB0501,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 4.12gm","Pink Round Brilliant Cut 7 = 0.21ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 18 = 0.10ct G/SI",,,"W/H: 1.00","MD: 2.00","PS: 1.00"
BPR-RDSSB0601,"BLUSH ROSALIE RING 18ct Rose & White Gold=3.73gm P.RBC 7=0.14ct FLP/SIAV Argyle lot #391253 RBC 16=0.08ct G/SI",BPR-RDSSB0601,8.00,,1,,1597.38,3995.00,,,BPR-RDSSB0601,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 3.73gm","Pink Round Brilliant Cut 7 = 0.14ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 16 = 0.08ct G/SI",,,"W/H: 6.00","MD: 1.00","PS: 1.00"
BPR-RDSSB0701,"BLUSH AYLA RING 18ct Rose & White Gold=3.70gm P.RBC 1=0.06ct FLP/SIAV Argyle lot #387541 P.RBC 12=0.09ct FLP/SIAV Argyle lot #391253 RBC 22=0.11ct G/SI",BPR-RDSSB0701,7.00,,1,,1805.54,4550.00,,,BPR-RDSSB0701,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 3.70gm","Pink Round Brilliant Cut 1 = 0.06ct FLP/SIAV","Argyle lot # 387541","Pink Round Brilliant Cut 12 = 0.09ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 22 = 0.11ct G/SI","W/H: 4.00","MD: 1.00","PS: 1.00"
BPR-RDSSB0801,"BLUSH SUNSHINE RING 18ct Rose & White Gold=4.90gm P.RBC 7=0.18ct FLP/SIAV Argyle lot #391253 RBC 16=0.17ct G/SI",BPR-RDSSB0801,3.00,,1,,2148.31,5395.00,,,BPR-RDSSB0801,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 4.90gm","Pink Round Brilliant Cut 7 = 0.18ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 16 = 0.17ct G/SI",,,"W/H: 4.00","MD: 1.00","PS: 1.00"
BPR-RDSYB0101,"BLUSH HAYLEY RING 18ct Rose & White Gold=5.31gm P.RBC 25=0.19ct FLP/SIAV Argyle lot #391253 RBC 40=0.16ct G/SI",BPR-RDSYB0101,2.00,,1,,2375.38,5950.00,,,BPR-RDSYB0101,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 5.31gm","Pink Round Brilliant Cut 25 = 0.19ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 40 = 0.16ct G/SI",,,"W/H: 1.00",,"PS: 1.00"
BPR-SQNSB0101,"BLUSH ALBA RING 18ct Rose & White Gold=1.27gm P.RBC 1=0.04ct FLP/SI Argyle lot #391329",BPR-SQNSB0101,6.00,,1,,669.20,1350.00,,,BPR-SQNSB0101,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 1.27gm","Pink Round Brilliant Cut 1 = 0.04ct FLP/SI","Argyle lot # 391329",,,,"W/H: 4.00","MD: 1.00","PS: 1.00"
BPW-FLCPB0101,"BLUSH SCARLETT RING 18ct Rose & White Gold=6.41gm P.RBC 12=0.34ct FLP/SIAV Argyle lot #391253 RBC 36=0.33ct G/SI",BPW-FLCPB0101,5.00,,1,,3982.31,9995.00,,,BPW-FLCPB0101,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 6.41gm","Pink Round Brilliant Cut 12 = 0.34ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 36 = 0.33ct G/SI",,,"W/H: 3.00","MD: 1.00","PS: 1.00"
BPW-FLCPB0201,"BLUSH LETITIA RING 18ct Rose & White Gold=6.36gm P.RBC 8=0.12ct FLP/SIAV Argyle lot #391253 RBC 32=0.29ct G/SI",BPW-FLCPB0201,6.00,,1,,2663.08,6695.00,,,BPW-FLCPB0201,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 6.36gm","Pink Round Brilliant Cut 8 = 0.12ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 32 = 0.29ct G/SI",,,"W/H: 4.00","MD: 1.00","PS: 1.00"
BPW-RDBPB0101,"BLUSH ORANA RING 18ct Rose & White Gold=2.47gm P.RBC 3=0.03ct FLP/SIAV Argyle lot #391253 RBC 12=0.06ct G/SI",BPW-RDBPB0101,14.00,,1,,939.54,2350.00,,,BPW-RDBPB0101,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 2.47gm","Pink Round Brilliant Cut 3 = 0.03ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 12 = 0.06ct G/SI",,,"W/H: 12.00 - Appro: 1","MD: 1.00","PS: 1.00"
BPW-RDBPB0201,"BLUSH SCINTILLA RING 18ct Rose & White Gold=2.26gm P.RBC 3=0.02ct FLP/SIAV Argyle lot #391253 RBC 12=0.06ct G/SI",BPW-RDBPB0201,14.00,,1,,836.31,2095.00,,,BPW-RDBPB0201,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 2.26gm","Pink Round Brilliant Cut 3 = 0.02ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 12 = 0.06ct G/SI",,,"W/H: 13.00","MD: 1.00",
BPW-RDBPB0301,"BLUSH MEDIKA RING 18ct Rose & White Gold=3.56gm P.RBC 5=0.04ct FLP/SIAV Argyle lot #391253 RBC 4=0.03ct G/SI",BPW-RDBPB0301,14.00,,1,,1124.15,2850.00,,,BPW-RDBPB0301,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 3.56gm","Pink Round Brilliant Cut 5 = 0.04ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 4 = 0.03ct G/SI",,,"W/H: 12.00 - Appro: 1","MD: 1.00","PS: 1.00"
BPW-RDBPB0401,"BLUSH KESALUL RING 18ct Rose & White Gold=2.20gm P.RBC 4=0.03ct FLP/SIAV Argyle lot #391253 RBC 5=0.04ct G/SI",BPW-RDBPB0401,14.00,,1,,829.85,2095.00,,,BPW-RDBPB0401,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 2.20gm","Pink Round Brilliant Cut 4 = 0.03ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 5 = 0.04ct G/SI",,,"W/H: 12.00","MD: 1.00","PS: 1.00"
BPW-RDBPB0501,"BLUSH BISOUS RING 18ct Rose & White Gold=2.56gm P.RBC 2=0.01ct FLP/SIAV Argyle lot #391253 RBC 15=0.06ct G/SI",BPW-RDBPB0501,12.00,,1,,846.31,2150.00,,,BPW-RDBPB0501,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 2.56gm","Pink Round Brilliant Cut 2 = 0.01ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 15 = 0.06ct G/SI",,,"W/H: 11.00",,"PS: 1.00"
BPW-RDBSB0101,"BLUSH DARIA RING 18ct Rose & White Gold=2.49gm P.RBC 6=0.08ct FLP/SIAV Argyle lot #391253 RBC 5=0.16ct G/SI",BPW-RDBSB0101,10.00,,1,,1434.46,3595.00,,,BPW-RDBSB0101,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 2.49gm","Pink Round Brilliant Cut 6 = 0.08ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 5 = 0.16ct G/SI",,,"W/H: 8.00","MD: 1.00","PS: 1.00"
BPW-RDCFB0101,"BLUSH ANGELINA RING 18ct Rose & White Gold=3.39gm P.RBC 25=0.10ct FLP/SIAV Argyle lot #391253 RBC 25=0.10ct G/SI",BPW-RDCFB0101,7.00,,1,,1426.19,3595.00,,,BPW-RDCFB0101,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 3.39gm","Pink Round Brilliant Cut 25 = 0.10ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 25 = 0.10ct G/SI",,,"W/H: 5.00 - Appro: 1","MD: 1.00","PS: 1.00"
BPW-RDCPB0101,"BLUSH GALIA RING 18ct Rose & White Gold=2.53gm P.RBC 10=0.09ct FLP/SI Argyle lot #401888 RBC 10=0.07ct G/SI",BPW-RDCPB0101,11.00,,1,,1367.46,2750.00,,,BPW-RDCPB0101,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 2.53gm","Pink Round Brilliant Cut 10 = 0.09ct FLP/SI","Argyle lot # 401888","Round Brilliant Cut 10 = 0.07ct G/SI",,,"W/H: 10.00 - Appro: 2",,"PS: 1.00"
BPW-RDCPB0301,"BLUSH FLORENCE WEDDER 18ct Rose & White Gold=3.44gm P.RBC 19=0.09ct FLP/SI Argyle lot #355119",BPW-RDCPB0301,2.00,,1,,1041.31,2395.00,,,BPW-RDCPB0301,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 3.44gm","Pink Round Brilliant Cut 19 = 0.09ct FLP/SI","Argyle lot # 355119",,,,"W/H: 10.00 - Appro: 2","MD: 1.00","PS: 1.00"
BPW-RDCPB0401,"BLUSH HARMONY RING 18ct Rose Gold=3.30gm P.RBC 11=0.44ct FLP/SIAV Argyle lot #391253",BPW-RDCPB0401,10.00,,1,,2581.85,6495.00,,,BPW-RDCPB0401,,"Blush Pink Diamonds",Rings,"18ct Rose Gold = 3.30gm","Pink Round Brilliant Cut 11 = 0.44ct FLP/SIAV","Argyle lot # 391253",,,,"W/H: 8.00 - Appro: 1","MD: 1.00","PS: 1.00"
BPW-RDCPB0501,"BLUSH LARA RING 18ct Rose & White Gold=5.93gm P.RBC 7=0.12ct FLP/SIAV Argyle lot #391253 RBC 40=0.26ct G/SI",BPW-RDCPB0501,3.00,,1,,2654.15,6650.00,,,BPW-RDCPB0501,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 5.93gm","Pink Round Brilliant Cut 7 = 0.12ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 40 = 0.26ct G/SI",,,"W/H: 8.00 - Appro: 1","MD: 2.00",
BPW-RDCPB0601,"BLUSH NADINE RING 18ct Rose & White Gold=4.57gm P.RBC 7=0.14ct FLP/SIAV Argyle lot #391253 RBC 14=0.08ct G/SI",BPW-RDCPB0601,4.00,,1,,1947.69,4895.00,,,BPW-RDCPB0601,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 4.57gm","Pink Round Brilliant Cut 7 = 0.14ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 14 = 0.08ct G/SI",,,"W/H: 3.00",,"PS: 1.00"
BPW-RDCPB0701,"BLUSH  ADEENA RING 18ct Rose & White Gold=5.64gm P.RBC 16=0.11ct FLP/SIAV Argyle lot #391253 RBC 46=0.17ct G/SI",BPW-RDCPB0701,10.00,,1,,2342.15,5895.00,,,BPW-RDCPB0701,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 5.64gm","Pink Round Brilliant Cut 16 = 0.11ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 46 = 0.17ct G/SI",,,"W/H: 8.00","MD: 1.00","PS: 1.00"
BPW-RDCPB0801,"BLUSH  ANIKA RING 18ct Rose & White Gold=2.55gm P.RBC 3=0.05ct FLP/SIAV Argyle lot #391253 RBC 10=0.10ct G/SI",BPW-RDCPB0801,9.00,,1,,1103.54,2795.00,,,BPW-RDCPB0801,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 2.55gm","Pink Round Brilliant Cut 3 = 0.05ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 10 = 0.10ct G/SI",,,"W/H: 7.00","MD: 1.00","PS: 1.00"
BPW-RDCPB0901,"BLUSH  GEORGIA RING 18ct Rose & White Gold=4.32gm P.RBC 19=0.15ct FLP/SIAV Argyle lot #391253 RBC 46=0.22ct G/SI",BPW-RDCPB0901,10.00,,1,,2344.62,5895.00,,,BPW-RDCPB0901,,"Blush Pink Diamonds",Rings,"18ct Rose & White Gold = 4.32gm","Pink Round Brilliant Cut 19 = 0.15ct FLP/SIAV","Argyle lot # 391253","Round Brilliant Cut 46 = 0.22ct G/SI",,,"W/H: 8.00","MD: 1.00","PS: 1.00"
BPW-RDCPR0101,"BLUSH SUGAR WEDDING BAND 18ct Rose Gold=4.12gm P.RBC 67=0.4ct FLP/SI Argyle lot #409794",BPW-RDCPR0101,10.00,,1,,2705.83,5350.00,,,BPW-RDCPR0101,,"Blush Pink Diamonds",Rings,"18ct Rose Gold = 4.12gm","Pink Round Brilliant Cut 67 = 0.4ct FLP/SI","Argyle lot # 409794",,,,"W/H: 8.00","MD: 1.00","PS: 1.00"
BPW-RDCPR0201,"BLUSH FAIRYTALE WEDDING BAND 18ct Rose Gold=3.00gm P.RBC 23=0.15ct FLP/SI Argyle lot #409793",BPW-RDCPR0201,12.00,,1,,1309.26,2595.00,,,BPW-RDCPR0201,,"Blush Pink Diamonds",Rings,"18ct Rose Gold = 3.00gm","Pink Round Brilliant Cut 23 = 0.15ct FLP/SI","Argyle lot # 409793",,,,"W/H: 10.00","MD: 1.00","PS: 1.00"
BPW-RDCPR0202,"18ct Yellow Gold Ring=2.89gm Ruby RBC 23=0.19ct",BPW-RDCPR0202,1.00,,1,,1009.46,2295.00,,,BPW-RDCPR0202,,"Semi Precious Jewellery",Rings,"18ct Yellow Gold Ring = 2.89gm","Ruby Round Brilliant Cut 23 = 0.19ct",,,,,"W/H: 10.00",,
BWD-CSCPW0101,"18ct White Gold=8.50gm RBC 137=0.81ct GH/SI",BWD-CSCPW0101,2.00,,1,,1991.72,4759.62,,,BWD-CSCPW0101,,"White Diamonds",Rings,"18ct White Gold = 8.50gm","Round Brilliant Cut 137 = 0.81ct GH/SI",,,,,"W/H: 1.00",,"PS: 1.00"
BWD-CSCPW0201,"18ct White Gold=4.80gm RBC 61=0.37ct GH/SI",BWD-CSCPW0201,2.00,,1,,1011.22,2416.53,,,BWD-CSCPW0201,,"White Diamonds",Rings,"18ct White Gold = 4.80gm","Round Brilliant Cut 61 = 0.37ct GH/SI",,,,,"W/H: 1.00",,"PS: 1.00"
BWD-MQCPW0101,"18ct White Gold=7.90gm RBC 161=0.94ct GH/SI",BWD-MQCPW0101,2.00,,1,,2149.98,5137.84,,,BWD-MQCPW0101,,"White Diamonds",Rings,"18ct White Gold = 7.90gm","Round Brilliant Cut 161 = 0.94ct GH/SI",,,,,"W/H: 1.00",,"PS: 1.00"
BWD-RDCPW0101,"18ct White Gold=7.80gm RBC 97=0.58ct GH/SI",BWD-RDCPW0101,2.00,,1,,1613.91,3856.76,,,BWD-RDCPW0101,,"White Diamonds",Rings,"18ct White Gold = 7.80gm","Round Brilliant Cut 97 = 0.58ct GH/SI",,,,,"W/H: 1.00",,"PS: 1.00"
BWD-RDCPW0201,"18ct White Gold=4.80gm RBC 99=0.37ct GH/SI",BWD-RDCPW0201,2.00,,1,,1047.43,2503.03,,,BWD-RDCPW0201,,"White Diamonds",Rings,"18ct White Gold = 4.80gm","Round Brilliant Cut 99 = 0.37ct GH/SI",,,,,"W/H: 1.00",,"PS: 1.00"
BWD-RDCPW0301,"18ct White Gold=5.20gm RBC 91=0.53ct GH/SI",BWD-RDCPW0301,2.00,,1,,1291.02,3085.13,,,BWD-RDCPW0301,,"White Diamonds",Rings,"18ct White Gold = 5.20gm","Round Brilliant Cut 91 = 0.53ct GH/SI",,,,,"W/H: 1.00",,"PS: 1.00"
BWE-CSCSW0101,"18ct White Gold=3.70gm RBC 122=0.73ct GH/SI",BWE-CSCSW0101,1.00,,1,,1533.37,3664.29,,,BWE-CSCSW0101,,"White Diamonds",Earrings,"18ct White Gold = 3.70gm","Round Brilliant Cut 122 = 0.73ct GH/SI",,,,,"W/H: 1.00",,"PS: 1.00"
BWE-RDCSW0101,"18ct White Gold=3.70gm RBC 122=0.73ct GH/SI",BWE-RDCSW0101,2.00,,1,,1532.88,3663.13,,,BWE-RDCSW0101,,"White Diamonds",Earrings,"18ct White Gold = 3.70gm","Round Brilliant Cut 122 = 0.73ct GH/SI",,,,,"W/H: 1.00",,"PS: 1.00"
BWP-CSCNW0101,"18ct White Gold=3.30gm RBC 121=0.73ct GH/SI",BWP-CSCNW0101,1.00,,1,,1453.26,3472.88,,,BWP-CSCNW0101,,"White Diamonds",Necklaces,"18ct White Gold = 3.30gm","Round Brilliant Cut 121 = 0.73ct GH/SI",,,,,"W/H: 1.00",,"PS: 1.00"
BWP-RDCNW0101,"18ct White Gold=3.70gm RBC 97=0.56ct GH/SI",BWP-RDCNW0101,3.00,,1,,1213.60,2900.15,,,BWP-RDCNW0101,,"White Diamonds",Necklaces,"18ct White Gold = 3.70gm","Round Brilliant Cut 97 = 0.56ct GH/SI",,,,,"W/H: 2.00",,"PS: 1.00"
BWW-RDCPW0101,"18ct White Gold=3.70gm RBC 67=0.40ct GH/SI",BWW-RDCPW0101,5.00,,1,,1120.43,2677.50,,,BWW-RDCPW0101,,"White Diamonds",Rings,"18ct White Gold = 3.70gm","Round Brilliant Cut 67 = 0.40ct GH/SI",,,,,"W/H: 5.00",,
BWW-RDCPW0201,"18ct White Gold=3.00gm RBC 23=0.14ct GH/SI",BWW-RDCPW0201,7.00,,1,,589.82,1409.47,,,BWW-RDCPW0201,,"White Diamonds",Rings,"18ct White Gold = 3.00gm","Round Brilliant Cut 23 = 0.14ct GH/SI",,,,,"W/H: 7.00",,
CDD-MXMMB0101,"18ct Yellow & White Gold=5.84gm Fancy Colour Diamond 3=0.52ct RBC 58=0.44ct F/VS Total Diamond Weight=0.94ct",CDD-MXMMB0101,1.00,,1,,2977.94,7444.12,,,CDD-MXMMB0101,,"Fancy Coloured Diamonds",Rings,"18ct Yellow & White Gold = 5.84gm","Fancy Colour Diamond 3 = 0.52ct","Round Brilliant Cut 58 = 0.44ct F/VS","Total Diamond Weight = 0.94ct",,,"W/H: 1.00",,
CDD-MXMMB0301,"18ct Rose & White Gold=4.84gm Fancy Colour Diamond 3=0.87ct RBC 70=0.41ct F/VS Total Diamond Weight=1.28ct",CDD-MXMMB0301,1.00,,1,,3442.65,8605.88,,,CDD-MXMMB0301,,"Fancy Coloured Diamonds",Rings,"18ct Rose & White Gold = 4.84gm","Fancy Colour Diamond 3 = 0.87ct","Round Brilliant Cut 70 = 0.41ct F/VS","Total Diamond Weight = 1.28ct",,,"W/H: 1.00",,"PS: 1.00"
CDD-PEMMB0401,"18ct Yellow & White Gold=6.77gm Fancy Colour Diamond 3=0.87ct RBC 58=0.44ct F/VS Total Diamond Weight=1.31ct",CDD-PEMMB0401,1.00,,1,,3745.59,9363.24,,,CDD-PEMMB0401,,"Fancy Coloured Diamonds",Rings,"18ct Yellow & White Gold = 6.77gm","Fancy Colour Diamond 3 = 0.87ct","Round Brilliant Cut 58 = 0.44ct F/VS","Total Diamond Weight = 1.31ct",,,"W/H: 1.00",,"PS: 1.00"
CDD-PEMMB0801,"18ct Rose & White Gold=5.86gm Fancy Colour Diamond 3=0.41ct RBC 78=0.46ct F/VS Total Diamond Weight=0.87ct",CDD-PEMMB0801,1.00,,1,,2497.06,6241.18,,,CDD-PEMMB0801,,"Fancy Coloured Diamonds",Rings,"18ct Rose & White Gold = 5.86gm","Fancy Colour Diamond 3 = 0.41ct","Round Brilliant Cut 78 = 0.46ct F/VS","Total Diamond Weight = 0.87ct",,,"W/H: 1.00",,"PS: 1.00"
CDD-PEMMT0101,"18ct Rose, Yellow & White Gold=5.10gm Fancy Colour Diamond 3=0.46ct RBC 65=0.39ct F/VS Total Diamond Weight=0.85ct",CDD-PEMMT0101,1.00,,1,,2500.00,6248.53,,,CDD-PEMMT0101,,"Fancy Coloured Diamonds",Rings,"18ct Rose, Yellow & White Gold = 5.10gm","Fancy Colour Diamond 3 = 0.46ct","Round Brilliant Cut 65 = 0.39ct F/VS","Total Diamond Weight = 0.85ct",,,"W/H: 1.00",,
CDD-RDMLB0101,"18ct Rose & White Gold=6.18gm Fancy Colour Diamond 3=0.68ct RBC 90=0.51ct F/VS Total Diamond Weight=1.19ct",CDD-RDMLB0101,1.00,,1,,3448.53,8622.06,,,CDD-RDMLB0101,,"Fancy Coloured Diamonds",Rings,"18ct Rose & White Gold = 6.18gm","Fancy Colour Diamond 3 = 0.68ct","Round Brilliant Cut 90 = 0.51ct F/VS","Total Diamond Weight = 1.19ct",,,"W/H: 1.00",,"PS: 1.00"
CDE-MXDMB0101,"18ct Rose & White Gold=6.19gm RBC 62=0.80ct F/VS Fancy Diamond 46=0.84ct Total Diamond Weight=1.64ct",CDE-MXDMB0101,1.00,,1,,3557.35,8892.65,,,CDE-MXDMB0101,,"Fancy Coloured Diamonds",Earrings,"18ct Rose & White Gold = 6.19gm","Round Brilliant Cut 62 = 0.80ct F/VS","Fancy Diamond 46 = 0.84ct","Total Diamond Weight = 1.64ct",,,"W/H: 1.00",,
CDE-RDHMB0101,"18ct Rose & White Gold=4.13gm Fancy Colour Diamond 8=0.97ct RBC 28=0.20ct F/VS Total Diamond Weight=1.17ct",CDE-RDHMB0101,1.00,,1,,3273.53,8182.35,,,CDE-RDHMB0101,,"Fancy Coloured Diamonds",Earrings,"18ct Rose & White Gold = 4.13gm","Fancy Colour Diamond 8 = 0.97ct","Round Brilliant Cut 28 = 0.20ct F/VS","Total Diamond Weight = 1.17ct",,,"W/H: 1.00",,
CDP-MQDSB0101,"18ct Rose & White Gold=1.84gm Fancy Diamond 23=0.29ct RBC 23=0.16ct F/VS Total Diamond Weight=0.45ct",CDP-MQDSB0101,1.00,,1,,1386.76,3466.18,,,CDP-MQDSB0101,,"Fancy Coloured Diamonds",Necklaces,"18ct Rose & White Gold = 1.84gm","Fancy Diamond 23 = 0.29ct","Round Brilliant Cut 23 = 0.16ct F/VS","Total Diamond Weight = 0.45ct",,,"W/H: 1.00",,"PS: 1.00"
CDP-PEDST0101,"18ct Rose, Yellow & White Gold=1.28gm RBC 19=0.14ct F/VS Fancy Colour Diamond 16=0.27ct Total Diamond Weight=0.41ct",CDP-PEDST0101,1.00,,1,,1025.00,2561.76,,,CDP-PEDST0101,,"Fancy Coloured Diamonds",Necklaces,"18ct Rose, Yellow & White Gold = 1.28gm","Round Brilliant Cut 19 = 0.14ct F/VS","Fancy Colour Diamond 16 = 0.27ct","Total Diamond Weight = 0.41ct",,,"W/H: 1.00",,
CDP-RDCSB0101,"18ct Rose & White Gold=1.04gm RBC 14=0.10ct F/VS Fancy Colour Diamond 4=0.59ct Total Diamond Weight=0.69ct",CDP-RDCSB0101,1.00,,1,,1795.59,4488.24,,,CDP-RDCSB0101,,"Fancy Coloured Diamonds",Necklaces,"18ct Rose & White Gold = 1.04gm","Round Brilliant Cut 14 = 0.10ct F/VS","Fancy Colour Diamond 4 = 0.59ct","Total Diamond Weight = 0.69ct",,,"W/H: 1.00",,"PS: 1.00"
CDR-RDDSB0201,"18ct Rose & White Gold=3.65gm Fancy Colour Diamond 17=0.51ct RBC 32=0.47ct F/VS Total Diamond Weight=0.98ct",CDR-RDDSB0201,1.00,,1,,2688.24,6719.12,,,CDR-RDDSB0201,,"Fancy Coloured Diamonds",Rings,"18ct Rose & White Gold = 3.65gm","Fancy Colour Diamond 17 = 0.51ct","Round Brilliant Cut 32 = 0.47ct F/VS","Total Diamond Weight = 0.98ct",,,"W/H: 1.00",,"PS: 1.00"
CDR-RDDSB0301,"18ct Yellow & White Gold=4.30gm Champagne RBC 1=0.10ct C7/P1 Yellow RBC 12=0.11ct NFVY RBC 31=0.47ct F/VS",CDR-RDDSB0301,1.00,,1,,3370.59,8426.47,,,CDR-RDDSB0301,,"Fancy Coloured Diamonds",Rings,"18ct Yellow & White Gold = 4.30gm","Champagne Round Brilliant Cut 1 = 0.10ct C7/P1","Yellow Round Brilliant Cut 12 = 0.11ct NFVY","Round Brilliant Cut 31 = 0.47ct F/VS",,,"W/H: 1.00",,
CDT-MQSSB0101,"18ct Rose & White Gold=2.64gm RBC 42=0.14ct F/VS Fancy Colour Diamond 3=0.23ct Total Diamond Weight=0.37ct",CDT-MQSSB0101,1.00,,1,,1208.82,3022.06,,,CDT-MQSSB0101,,"Fancy Coloured Diamonds",Rings,"18ct Rose & White Gold = 2.64gm","Round Brilliant Cut 42 = 0.14ct F/VS","Fancy Colour Diamond 3 = 0.23ct","Total Diamond Weight = 0.37ct",,,"W/H: 1.00",,
CDW-RDFSW0101,"18ct White Gold=1.30gm Black RBC 39=0.33ct",CDW-RDFSW0101,1.00,,1,,1202.94,3007.35,,,CDW-RDFSW0101,,"Fancy Coloured Diamonds",Rings,"18ct White Gold = 1.30gm","Black Round Brilliant Cut 39 = 0.33ct",,,,,"W/H: 1.00",,
"CHAIN WG-40CM",,"CHAIN WG-40CM",6.00,,1,,226.00,540.07,,,"CHAIN WG-40CM",,"White Diamonds",Bracelets,,,,,,,"W/H: 6.00",,
"CHAIN WG-45CM",,"CHAIN WG-45CM",34.00,,1,,242.00,578.31,,,"CHAIN WG-45CM",,"White Diamonds",Bracelets,,,,,,,"W/H: 34.00",,
"CHAIN WG-50CM",,"CHAIN WG-50CM",3.00,,1,,258.00,616.54,,,"CHAIN WG-50CM",,"White Diamonds",Bracelets,,,,,,,"W/H: 2.00 - Appro: 1",,
FCD00002,,FCD00002,0.26,,1,,184615.38,323495.00,,,FCD00002,,"Fancy Coloured Diamonds","Loose Coloured Diamonds",GIA,"GIA 1216049893 FIB",,FIBG,VS2,4.01x3.26x2.25mm,"W/H: 0.26",,
FCD00003,,FCD00003,0.16,,1,,207692.31,363995.00,,,FCD00003,,"Fancy Coloured Diamonds","Loose Coloured Diamonds",GIA,"GIA 2215050185 FVB",,FVBG,SI1,3.53x2.88x1.84mm,"W/H: 0.16",,
FCD00004,,FCD00004,0.71,,1,,93923.08,164995.00,,,FCD00004,,"Fancy Coloured Diamonds","Loose Coloured Diamonds",GIA,"GIA 1192664846 FG",,FG,VS2,5.00x4.79x3.19mm,"W/H: 0.71",,
FCD00029,,FCD00029,1.53,,1,,41538.46,72995.00,,,FCD00029,,"Fancy Coloured Diamonds","Loose Coloured Diamonds",GIA,"GIA 1349794010 FGY",,FGY,VS2,6.26x6.20x4.17mm,"W/H: 1.53",,
