SKU,Brand,Measurement,Stone_Intensity,Product_Type,Stone_Specifications,Stone_Shape,Collections,Carat_Weight,Stone_Colour,Treatment,Description,Centre_Stone_SKU
SDS01029,"Sapphire Dreams",14.40x9.00mm,6.00,"Loose sapphires","ID No.: 01029<br>Colour: GREEN <br>Shape: PEAR<br>Weight: 6.00ct<br>Size: 14.40x9.00mm<br>Origin: AUSTRALIA",Pear,SDS,6.00,"Green ",Unheated,"An unheated Australian Pear cut Green  sapphire weighing 6.00ct and measures 14.40x9.00mm.",
SDS01030,"Sapphire Dreams",6.20x5.80mm,1.06,"Loose sapphires","ID No.: 01030<br>Colour: GREEN <br>Shape: CUSHION<br>Weight: 1.06ct<br>Size: 6.20x5.80mm<br>Origin: AUSTRALIA",Cushion,SDS,1.06,"Green ",Unheated,"An unheated Australian Cushion cut Green  sapphire weighing 1.06ct and measures 6.20x5.80mm.",
SDS01031,"Sapphire Dreams",8.00x6.00mm,1.39,"Loose sapphires","ID No.: 01031<br>Colour: TEAL<br>Shape: OVAL<br>Weight: 1.39ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.39,Teal,,"An Australian Oval cut Teal sapphire weighing 1.39ct and measures 8.00x6.00mm.",
SDS01032,"Sapphire Dreams",11.00x9.00mm,4.81,"Loose sapphires","ID No.: 01032<br>Colour: BLUE <br>Shape: OVAL<br>Weight: 4.81ct<br>Size: 11.00x9.00mm<br>Origin: AUSTRALIA",Oval,SDS,4.81,"Blue ",Unheated,"An unheated Australian Oval cut Blue  sapphire weighing 4.81ct and measures 11.00x9.00mm.",
SDS01033,"Sapphire Dreams",9.50x7.60mm,3.14,"Loose sapphires","ID No.: 01033<br>Colour: ORANGE<br>Shape: OVAL<br>Weight: 3.14ct<br>Size: 9.50x7.60mm<br>Origin: AUSTRALIA",Oval,SDS,3.14,Orange,,"An Australian Oval cut Orange sapphire weighing 3.14ct and measures 9.50x7.60mm.",
SDS01034,"Sapphire Dreams",12.50x7.50mm,3.55,"Loose sapphires","ID No.: 01034<br>Colour: PARTI<br>Shape: OVAL<br>Weight: 3.55ct<br>Size: 12.50x7.50mm<br>Origin: AUSTRALIA",Oval,SDS,3.55,Parti,,"An Australian Oval cut Parti sapphire weighing 3.55ct and measures 12.50x7.50mm.",
SDS01035,"Sapphire Dreams",9.00x7.00mm,2.04,"Loose sapphires","ID No.: 01035<br>Colour: TEAL<br>Shape: OCTAGONAL<br>Weight: 2.04ct<br>Size: 9.00x7.00mm<br>Origin: AUSTRALIA",Octagonal,SDS,2.04,Teal,,"An Australian Octagonal cut Teal sapphire weighing 2.04ct and measures 9.00x7.00mm.",
SDS01036,"Sapphire Dreams",11.00mm,7.18,"Loose sapphires","ID No.: 01036<br>Colour: TEAL<br>Shape: CUSHION<br>Weight: 7.18ct<br>Size: 11.00mm<br>Origin: AUSTRALIA",Cushion,SDS,7.18,Teal,,"An Australian Cushion cut Teal sapphire weighing 7.18ct and measures 11.00mm.",
SDS01037,"Sapphire Dreams",8.00x6.00mm,1.51,"Loose sapphires","ID No.: 01037<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.51ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.51,Blue,,"An Australian Oval cut Blue sapphire weighing 1.51ct and measures 8.00x6.00mm.",
SDS01038,"Sapphire Dreams",8.00x6.00mm,1.48,"Loose sapphires","ID No.: 01038<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.48ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.48,Blue,,"An Australian Oval cut Blue sapphire weighing 1.48ct and measures 8.00x6.00mm.",
SDS01039,"Sapphire Dreams",14.20x11.00mm,9.97,"Loose sapphires","ID No.: 01039<br>Colour: PARTI <br>Shape: CUSHION<br>Weight: 9.97ct<br>Size: 14.20x11.00mm<br>Origin: AUSTRALIA",Cushion,SDS,9.97,"Parti ",Unheated,"An unheated Australian Cushion cut Parti  sapphire weighing 9.97ct and measures 14.20x11.00mm.",
SDS01040,"Sapphire Dreams",7.00x6.00mm,1.23,"Loose sapphires","ID No.: 01040<br>Colour: ORANGE PARTI <br>Shape: OVAL<br>Weight: 1.23ct<br>Size: 7.00x6.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.23,"Orange Parti ",Unheated,"An unheated Australian Oval cut Orange Parti  sapphire weighing 1.23ct and measures 7.00x6.00mm.",
SDS01041,"Sapphire Dreams",7.50x5.00mm,0.88,"Loose sapphires","ID No.: 01041<br>Colour: ORANGE<br>Shape: PEAR<br>Weight: 0.88ct<br>Size: 7.50x5.00mm<br>Origin: AUSTRALIA",Pear,SDS,0.88,Orange,,"An Australian Pear cut Orange sapphire weighing 0.88ct and measures 7.50x5.00mm.",
SDS01042,"Sapphire Dreams",6.00x4.00mm,0.71,"Loose sapphires","ID No.: 01042<br>Colour: BLUE<br>Shape: OCTAGONAL<br>Weight: 0.71ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Octagonal,SDS,0.71,Blue,,"An Australian Octagonal cut Blue sapphire weighing 0.71ct and measures 6.00x4.00mm.",
SDS01043,"Sapphire Dreams",6.00x4.00mm,0.61,"Loose sapphires","ID No.: 01043<br>Colour: BLUE<br>Shape: OCTAGONAL<br>Weight: 0.61ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Octagonal,SDS,0.61,Blue,,"An Australian Octagonal cut Blue sapphire weighing 0.61ct and measures 6.00x4.00mm.",
SDS01044,"Sapphire Dreams",6.00x4.00mm,0.60,"Loose sapphires","ID No.: 01044<br>Colour: BLUE<br>Shape: OCTAGONAL<br>Weight: 0.60ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Octagonal,SDS,0.60,Blue,,"An Australian Octagonal cut Blue sapphire weighing 0.60ct and measures 6.00x4.00mm.",
SDS01045,"Sapphire Dreams",7.88x9.08mm,2.36,"Loose sapphires","ID No.: 01045<br>Colour: TEAL <br>Shape: FANCY<br>Weight: 2.36ct<br>Size: 7.88x9.08mm<br>Origin: AUSTRALIA",Fancy,SDS,2.36,"Teal ",Unheated,"An unheated Australian Fancy cut Teal  sapphire weighing 2.36ct and measures 7.88x9.08mm.",
SDS01046,"Sapphire Dreams",8.00mm,2.29,"Loose sapphires","ID No.: 01046<br>Colour: TEAL <br>Shape: ROUND<br>Weight: 2.29ct<br>Size: 8.00mm<br>Origin: AUSTRALIA",Round,SDS,2.29,"Teal ",Unheated,"An unheated Australian Round cut Teal  sapphire weighing 2.29ct and measures 8.00mm.",
SDS01047,"Sapphire Dreams",8.50mm,2.39,"Loose sapphires","ID No.: 01047<br>Colour: PARTI<br>Shape: HEART<br>Weight: 2.39ct<br>Size: 8.50mm<br>Origin: AUSTRALIA",Heart,SDS,2.39,Parti,,"An Australian Heart cut Parti sapphire weighing 2.39ct and measures 8.50mm.",
SDS01048,"Sapphire Dreams",7.00mm,1.42,"Loose sapphires","ID No.: 01048<br>Colour: GREEN YELLOW <br>Shape: TRILLIANT<br>Weight: 1.42ct<br>Size: 7.00mm<br>Origin: AUSTRALIA",Trilliant,SDS,1.42,"Green Yellow ",Unheated,"An unheated Australian Trilliant cut Green Yellow  sapphire weighing 1.42ct and measures 7.00mm.",
SDS01049,"Sapphire Dreams",6.50mm,1.55,"Loose sapphires","ID No.: 01049<br>Colour: YELLOW<br>Shape: CUSHION<br>Weight: 1.55ct<br>Size: 6.50mm<br>Origin: AUSTRALIA",Cushion,SDS,1.55,Yellow,,"An Australian Cushion cut Yellow sapphire weighing 1.55ct and measures 6.50mm.",
SDS01050,"Sapphire Dreams",6.50mm,1.29,"Loose sapphires","ID No.: 01050<br>Colour: PARTI<br>Shape: ROUND<br>Weight: 1.29ct<br>Size: 6.50mm<br>Origin: AUSTRALIA",Round,SDS,1.29,Parti,,"An Australian Round cut Parti sapphire weighing 1.29ct and measures 6.50mm.",
SDS01051,"Sapphire Dreams",8.00x6.00mm,1.57,"Loose sapphires","ID No.: 01051<br>Colour: TEAL<br>Shape: OVAL<br>Weight: 1.57ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.57,Teal,,"An Australian Oval cut Teal sapphire weighing 1.57ct and measures 8.00x6.00mm.",
SDS01052,"Sapphire Dreams",8.01x6.20mm,1.85,"Loose sapphires","ID No.: 01052<br>Colour: GREEN<br>Shape: RADIANT<br>Weight: 1.85ct<br>Size: 8.01x6.20mm<br>Origin: AUSTRALIA",Radiant,SDS,1.85,Green,,"An Australian Radiant cut Green sapphire weighing 1.85ct and measures 8.01x6.20mm.",
SDS01053,"Sapphire Dreams",8.26x6.14mm,1.92,"Loose sapphires","ID No.: 01053<br>Colour: GREEN<br>Shape: RADIANT<br>Weight: 1.92ct<br>Size: 8.26x6.14mm<br>Origin: AUSTRALIA",Radiant,SDS,1.92,Green,,"An Australian Radiant cut Green sapphire weighing 1.92ct and measures 8.26x6.14mm.",
SDS01054,"Sapphire Dreams",7.33x5.72mm,1.55,"Loose sapphires","ID No.: 01054<br>Colour: GREEN<br>Shape: RADIANT<br>Weight: 1.55ct<br>Size: 7.33x5.72mm<br>Origin: AUSTRALIA",Radiant,SDS,1.55,Green,,"An Australian Radiant cut Green sapphire weighing 1.55ct and measures 7.33x5.72mm.",
SDS01055,"Sapphire Dreams",8.00x6.00mm,1.42,"Loose sapphires","ID No.: 01055<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.42ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.42,Blue,,"An Australian Oval cut Blue sapphire weighing 1.42ct and measures 8.00x6.00mm.",
SDS01056,"Sapphire Dreams",8.00x6.00mm,1.52,"Loose sapphires","ID No.: 01056<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.52ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.52,Blue,,"An Australian Oval cut Blue sapphire weighing 1.52ct and measures 8.00x6.00mm.",
SDS01057,"Sapphire Dreams",7.62x7.46mm,1.34,"Loose sapphires","ID No.: 01057<br>Colour: GOLDEN YELLOW<br>Shape: HEART<br>Weight: 1.34ct<br>Size: 7.62x7.46mm<br>Origin: AUSTRALIA",Heart,SDS,1.34,"Golden Yellow",,"An Australian Heart cut Golden Yellow sapphire weighing 1.34ct and measures 7.62x7.46mm.",
SDS01058,"Sapphire Dreams",9.00x7.00mm,1.98,"Loose sapphires","ID No.: 01058<br>Colour: BLUE <br>Shape: PEAR<br>Weight: 1.98ct<br>Size: 9.00x7.00mm<br>Origin: AUSTRALIA",Pear,SDS,1.98,"Blue ",Unheated,"An unheated Australian Pear cut Blue  sapphire weighing 1.98ct and measures 9.00x7.00mm.",
SDS01059,"Sapphire Dreams",9.00x7.00mm,1.59,"Loose sapphires","ID No.: 01059<br>Colour: BLUE <br>Shape: PEAR<br>Weight: 1.59ct<br>Size: 9.00x7.00mm<br>Origin: AUSTRALIA",Pear,SDS,1.59,"Blue ",Unheated,"An unheated Australian Pear cut Blue  sapphire weighing 1.59ct and measures 9.00x7.00mm.",
SDS01060,"Sapphire Dreams",6.50mm,1.15,"Loose sapphires","ID No.: 01060<br>Colour: PARTI TEAL <br>Shape: FANCY<br>Weight: 1.15ct<br>Size: 6.50mm<br>Origin: AUSTRALIA",Fancy,SDS,1.15,"Parti Teal ",Unheated,"An unheated Australian Fancy cut Parti Teal  sapphire weighing 1.15ct and measures 6.50mm.",
SDS01061,"Sapphire Dreams",6.50mm,1.13,"Loose sapphires","ID No.: 01061<br>Colour: PARTI TEAL <br>Shape: FANCY<br>Weight: 1.13ct<br>Size: 6.50mm<br>Origin: AUSTRALIA",Fancy,SDS,1.13,"Parti Teal ",Unheated,"An unheated Australian Fancy cut Parti Teal  sapphire weighing 1.13ct and measures 6.50mm.",
SDS01062,"Sapphire Dreams",6.00x6.00mm,0.94,"Loose sapphires","ID No.: 01062<br>Colour: TEAL<br>Shape: TRILLIANT<br>Weight: 0.94ct<br>Size: 6.00x6.00mm<br>Origin: AUSTRALIA",Trilliant,SDS,0.94,Teal,,"An Australian Trilliant cut Teal sapphire weighing 0.94ct and measures 6.00x6.00mm.",
SDS01063,"Sapphire Dreams",6.00x6.00mm,1.06,"Loose sapphires","ID No.: 01063<br>Colour: TEAL<br>Shape: TRILLIANT<br>Weight: 1.06ct<br>Size: 6.00x6.00mm<br>Origin: AUSTRALIA",Trilliant,SDS,1.06,Teal,,"An Australian Trilliant cut Teal sapphire weighing 1.06ct and measures 6.00x6.00mm.",
SDS01064,"Sapphire Dreams",4.80-5.00mm,0.44,"Loose sapphires","ID No.: 01064<br>Colour: GREEN <br>Shape: ROUND<br>Weight: 0.44ct<br>Size: 4.80-5.00mm<br>Origin: AUSTRALIA",Round,SDS,0.44,"Green ",Unheated,"An unheated Australian Round cut Green  sapphire weighing 0.44ct and measures 4.80-5.00mm.",
SDS01065,"Sapphire Dreams",4.80-5.00mm,0.54,"Loose sapphires","ID No.: 01065<br>Colour: GREEN <br>Shape: ROUND<br>Weight: 0.54ct<br>Size: 4.80-5.00mm<br>Origin: AUSTRALIA",Round,SDS,0.54,"Green ",Unheated,"An unheated Australian Round cut Green  sapphire weighing 0.54ct and measures 4.80-5.00mm.",
SDS01066,"Sapphire Dreams",7.00x5.00mm,1.20,"Loose sapphires","ID No.: 01066<br>Colour: YELLOW PARTI<br>Shape: EMERALD<br>Weight: 1.20ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Emerald,SDS,1.20,"Yellow Parti",,"An Australian Emerald cut Yellow Parti sapphire weighing 1.20ct and measures 7.00x5.00mm.",
SDS01070,"Sapphire Dreams",7.00x5.00mm,1.14,"Loose sapphires","ID No.: 01070<br>Colour: BLUE<br>Shape: EMERALD<br>Weight: 1.14ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Emerald,SDS,1.14,Blue,,"An Australian Emerald cut Blue sapphire weighing 1.14ct and measures 7.00x5.00mm.",
SDS01071,"Sapphire Dreams","7.00 x 5.00mm",1.14,"Loose sapphires","ID No.: 01071<br>Colour: YELLOW<br>Shape: OVAL<br>Weight: 1.14ct<br>Size: 7.00 x 5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.14,Yellow,,"An Australian Oval cut Yellow sapphire weighing 1.14ct and measures 7.00 x 5.00mm.",
SDS01072,"Sapphire Dreams",6.15mm,1.33,"Loose sapphires","ID No.: 01072<br>Colour: YELLOW<br>Shape: CUSHION<br>Weight: 1.33ct<br>Size: 6.15mm<br>Origin: AUSTRALIA",Cushion,SDS,1.33,Yellow,,"An Australian Cushion cut Yellow sapphire weighing 1.33ct and measures 6.15mm.",
SDS01073,"Sapphire Dreams","7.00 x 5.00mm",1.04,"Loose sapphires","ID No.: 01073<br>Colour: YELLOW<br>Shape: OVAL<br>Weight: 1.04ct<br>Size: 7.00 x 5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.04,Yellow,,"An Australian Oval cut Yellow sapphire weighing 1.04ct and measures 7.00 x 5.00mm.",
SDS01074,"Sapphire Dreams","7.00 x 5.00mm",1.06,"Loose sapphires","ID No.: 01074<br>Colour: GOLDEN<br>Shape: PEAR<br>Weight: 1.06ct<br>Size: 7.00 x 5.00mm<br>Origin: AUSTRALIA",Pear,SDS,1.06,Golden,,"An Australian Pear cut Golden sapphire weighing 1.06ct and measures 7.00 x 5.00mm.",
SDS01075,"Sapphire Dreams",7.00x5.00mm,0.90,"Loose sapphires","ID No.: 01075<br>Colour: PARTI<br>Shape: RADIANT<br>Weight: 0.90ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Radiant,SDS,0.90,Parti,,"An Australian Radiant cut Parti sapphire weighing 0.90ct and measures 7.00x5.00mm.",
SDS01076,"Sapphire Dreams",7.00x5.00mm,1.17,"Loose sapphires","ID No.: 01076<br>Colour: PARTI<br>Shape: RADIANT<br>Weight: 1.17ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Radiant,SDS,1.17,Parti,,"An Australian Radiant cut Parti sapphire weighing 1.17ct and measures 7.00x5.00mm.",
SDS01077,"Sapphire Dreams",7.00x5.00mm,0.97,"Loose sapphires","ID No.: 01077<br>Colour: BLUE<br>Shape: RADIANT<br>Weight: 0.97ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Radiant,SDS,0.97,Blue,,"An Australian Radiant cut Blue sapphire weighing 0.97ct and measures 7.00x5.00mm.",
SDS01078,"Sapphire Dreams",7.00x5.00mm,0.98,"Loose sapphires","ID No.: 01078<br>Colour: PARTI<br>Shape: RADIANT<br>Weight: 0.98ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Radiant,SDS,0.98,Parti,,"An Australian Radiant cut Parti sapphire weighing 0.98ct and measures 7.00x5.00mm.",
SDS01079,"Sapphire Dreams",7.00x5.00mm,0.97,"Loose sapphires","ID No.: 01079<br>Colour: PARTI<br>Shape: RADIANT<br>Weight: 0.97ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Radiant,SDS,0.97,Parti,,"An Australian Radiant cut Parti sapphire weighing 0.97ct and measures 7.00x5.00mm.",
SDS01080,"Sapphire Dreams",7.00x5.00mm,0.95,"Loose sapphires","ID No.: 01080<br>Colour: PARTI<br>Shape: RADIANT<br>Weight: 0.95ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Radiant,SDS,0.95,Parti,,"An Australian Radiant cut Parti sapphire weighing 0.95ct and measures 7.00x5.00mm.",
SDS01081,"Sapphire Dreams","7.00 x 5.00mm",1.52,"Loose sapphires","ID No.: 01081<br>Colour: PARTI TEAL<br>Shape: OVAL<br>Weight: 1.52ct<br>Size: 7.00 x 5.00mm<br>Origin: AUSTRALIA",Oval,SDS,1.52,"Parti Teal",,"An Australian Oval cut Parti Teal sapphire weighing 1.52ct and measures 7.00 x 5.00mm.",
SDS01082,"Sapphire Dreams",7.00x5.00mm,0.86,"Loose sapphires","ID No.: 01082<br>Colour: PARTI TEAL<br>Shape: OVAL<br>Weight: 0.86ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,SDS,0.86,"Parti Teal",,"An Australian Oval cut Parti Teal sapphire weighing 0.86ct and measures 7.00x5.00mm.",
SDS01083,"Sapphire Dreams",14.00x10.00mm,7.06,"Loose sapphires","ID No.: 01083<br>Colour: BLUE<br>Shape: CUSHION<br>Weight: 7.06ct<br>Size: 14.00x10.00mm<br>Origin: AUSTRALIA",Cushion,SDS,7.06,Blue,,"An Australian Cushion cut Blue sapphire weighing 7.06ct and measures 14.00x10.00mm.",
SDS01084,"Sapphire Dreams",10.00x8.00mm,3.02,"Loose sapphires","ID No.: 01084<br>Colour: BLUE<br>Shape: CUSHION<br>Weight: 3.02ct<br>Size: 10.00x8.00mm<br>Origin: AUSTRALIA",Cushion,SDS,3.02,Blue,,"An Australian Cushion cut Blue sapphire weighing 3.02ct and measures 10.00x8.00mm.",
SDS01085,"Sapphire Dreams",11.00x9.00mm,4.06,"Loose sapphires","ID No.: 01085<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 4.06ct<br>Size: 11.00x9.00mm<br>Origin: AUSTRALIA",Oval,SDS,4.06,Blue,,"An Australian Oval cut Blue sapphire weighing 4.06ct and measures 11.00x9.00mm.",
SDS01086,"Sapphire Dreams",9.00x7.00mm,2.00,"Loose sapphires","ID No.: 01086<br>Colour: BLUE <br>Shape: OVAL<br>Weight: 2.00ct<br>Size: 9.00x7.00mm<br>Origin: AUSTRALIA",Oval,SDS,2.00,"Blue ",Unheated,"An unheated Australian Oval cut Blue  sapphire weighing 2.00ct and measures 9.00x7.00mm.",
SDS01087,"Sapphire Dreams",10.00x8.00mm,2.85,"Loose sapphires","ID No.: 01087<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 2.85ct<br>Size: 10.00x8.00mm<br>Origin: AUSTRALIA",Oval,SDS,2.85,Blue,,"An Australian Oval cut Blue sapphire weighing 2.85ct and measures 10.00x8.00mm.",
SDS01088,"Sapphire Dreams",8.00mm,2.53,"Loose sapphires","ID No.: 01088<br>Colour: BLUE <br>Shape: CUSHION<br>Weight: 2.53ct<br>Size: 8.00mm<br>Origin: AUSTRALIA",Cushion,SDS,2.53,"Blue ",Unheated,"An unheated Australian Cushion cut Blue  sapphire weighing 2.53ct and measures 8.00mm.",
SDS01089,"Sapphire Dreams",8.00mm,3.29,"Loose sapphires","ID No.: 01089<br>Colour: TEAL BLUE<br>Shape: CUSHION<br>Weight: 3.29ct<br>Size: 8.00mm<br>Origin: AUSTRALIA",Cushion,SDS,3.29,"Teal Blue",,"An Australian Cushion cut Teal Blue sapphire weighing 3.29ct and measures 8.00mm.",
SDS01090,"Sapphire Dreams",7.00mm,2.01,"Loose sapphires","ID No.: 01090<br>Colour: TEAL BLUE<br>Shape: CUSHION<br>Weight: 2.01ct<br>Size: 7.00mm<br>Origin: AUSTRALIA",Cushion,SDS,2.01,"Teal Blue",,"An Australian Cushion cut Teal Blue sapphire weighing 2.01ct and measures 7.00mm.",
SDS01091,"Sapphire Dreams",7.00mm,2.06,"Loose sapphires","ID No.: 01091<br>Colour: BLUE <br>Shape: CUSHION<br>Weight: 2.06ct<br>Size: 7.00mm<br>Origin: AUSTRALIA",Cushion,SDS,2.06,"Blue ",Unheated,"An unheated Australian Cushion cut Blue  sapphire weighing 2.06ct and measures 7.00mm.",
SDS01092,"Sapphire Dreams",7.00mm,1.99,"Loose sapphires","ID No.: 01092<br>Colour: BLUE <br>Shape: CUSHION<br>Weight: 1.99ct<br>Size: 7.00mm<br>Origin: AUSTRALIA",Cushion,SDS,1.99,"Blue ",Unheated,"An unheated Australian Cushion cut Blue  sapphire weighing 1.99ct and measures 7.00mm.",
SDS01093,"Sapphire Dreams",9.00mm,4.41,"Loose sapphires","ID No.: 01093<br>Colour: BLUE<br>Shape: CUSHION<br>Weight: 4.41ct<br>Size: 9.00mm<br>Origin: AUSTRALIA",Cushion,SDS,4.41,Blue,,"An Australian Cushion cut Blue sapphire weighing 4.41ct and measures 9.00mm.",
SDS01094,"Sapphire Dreams",10.00mm,5.38,"Loose sapphires","ID No.: 01094<br>Colour: BLUE<br>Shape: CUSHION<br>Weight: 5.38ct<br>Size: 10.00mm<br>Origin: AUSTRALIA",Cushion,SDS,5.38,Blue,,"An Australian Cushion cut Blue sapphire weighing 5.38ct and measures 10.00mm.",
SDS01095,"Sapphire Dreams",11.00x8.00mm,4.17,"Loose sapphires","ID No.: 01095<br>Colour: TEAL BLUE<br>Shape: CUSHION<br>Weight: 4.17ct<br>Size: 11.00x8.00mm<br>Origin: AUSTRALIA",Cushion,SDS,4.17,"Teal Blue",,"An Australian Cushion cut Teal Blue sapphire weighing 4.17ct and measures 11.00x8.00mm.",
SDS01096,"Sapphire Dreams",8.00mm,1.98,"Loose sapphires","ID No.: 01096<br>Colour: BLUE<br>Shape: ROUND<br>Weight: 1.98ct<br>Size: 8.00mm<br>Origin: AUSTRALIA",Round,SDS,1.98,Blue,,"An Australian Round cut Blue sapphire weighing 1.98ct and measures 8.00mm.",
SDS01097,"Sapphire Dreams",8.00mm,1.72,"Loose sapphires","ID No.: 01097<br>Colour: BLUE<br>Shape: ROUND<br>Weight: 1.72ct<br>Size: 8.00mm<br>Origin: AUSTRALIA",Round,SDS,1.72,Blue,,"An Australian Round cut Blue sapphire weighing 1.72ct and measures 8.00mm.",
SDS01098,"Sapphire Dreams",6.00mm,0.98,"Loose sapphires","ID No.: 01098<br>Colour: BLUE <br>Shape: ROUND<br>Weight: 0.98ct<br>Size: 6.00mm<br>Origin: AUSTRALIA",Round,SDS,0.98,"Blue ",Unheated,"An unheated Australian Round cut Blue  sapphire weighing 0.98ct and measures 6.00mm.",
SDS01099,"Sapphire Dreams",6.00mm,0.93,"Loose sapphires","ID No.: 01099<br>Colour: BLUE <br>Shape: ROUND<br>Weight: 0.93ct<br>Size: 6.00mm<br>Origin: AUSTRALIA",Round,SDS,0.93,"Blue ",Unheated,"An unheated Australian Round cut Blue  sapphire weighing 0.93ct and measures 6.00mm.",
SDS01100,"Sapphire Dreams",6.00mm,0.96,"Loose sapphires","ID No.: 01100<br>Colour: BLUE <br>Shape: ROUND<br>Weight: 0.96ct<br>Size: 6.00mm<br>Origin: AUSTRALIA",Round,SDS,0.96,"Blue ",Unheated,"An unheated Australian Round cut Blue  sapphire weighing 0.96ct and measures 6.00mm.",
SDS01101,"Sapphire Dreams",6.00mm,0.97,"Loose sapphires","ID No.: 01101<br>Colour: BLUE <br>Shape: ROUND<br>Weight: 0.97ct<br>Size: 6.00mm<br>Origin: AUSTRALIA",Round,SDS,0.97,"Blue ",Unheated,"An unheated Australian Round cut Blue  sapphire weighing 0.97ct and measures 6.00mm.",
SDS01102,"Sapphire Dreams",9.00x7.00mm,2.74,"Loose sapphires","ID No.: 01102<br>Colour: BLUE<br>Shape: RADIANT<br>Weight: 2.74ct<br>Size: 9.00x7.00mm<br>Origin: AUSTRALIA",Radiant,SDS,2.74,Blue,,"An Australian Radiant cut Blue sapphire weighing 2.74ct and measures 9.00x7.00mm.",
SDS01103,"Sapphire Dreams",11.00x8.00mm,2.74,"Loose sapphires","ID No.: 01103<br>Colour: TEAL BLUE<br>Shape: RADIANT<br>Weight: 2.74ct<br>Size: 11.00x8.00mm<br>Origin: AUSTRALIA",Radiant,SDS,2.74,"Teal Blue",,"An Australian Radiant cut Teal Blue sapphire weighing 2.74ct and measures 11.00x8.00mm.",
SDS01104,"Sapphire Dreams",6.00x5.00mm,3.08,"Loose sapphires","ID No.: 01104<br>Colour: TEAL GREEN<br>Shape: MARQUISE<br>Weight: 3.08ct<br>Size: 6.00x5.00mm<br>Origin: AUSTRALIA",Marquise,SDS,3.08,"Teal Green",,"An Australian Marquise cut Teal Green sapphire weighing 3.08ct and measures 6.00x5.00mm.",
SDS01105,"Sapphire Dreams",8.00mm,2.24,"Loose sapphires","ID No.: 01105<br>Colour: PARTI<br>Shape: TRILLIANT<br>Weight: 2.24ct<br>Size: 8.00mm<br>Origin: AUSTRALIA",Trilliant,SDS,2.24,Parti,,"An Australian Trilliant cut Parti sapphire weighing 2.24ct and measures 8.00mm.",
SDS01106,"Sapphire Dreams",6.09mm,1.02,"Loose sapphires","ID No.: 01106<br>Colour: GREEN<br>Shape: ROUND<br>Weight: 1.02ct<br>Size: 6.09mm<br>Origin: AUSTRALIA",Round,SDS,1.02,Green,,"An Australian Round cut Green sapphire weighing 1.02ct and measures 6.09mm.",
SDS01107,"Sapphire Dreams",6.00mm,0.95,"Loose sapphires","ID No.: 01107<br>Colour: GREEN<br>Shape: ROUND<br>Weight: 0.95ct<br>Size: 6.00mm<br>Origin: AUSTRALIA",Round,SDS,0.95,Green,,"An Australian Round cut Green sapphire weighing 0.95ct and measures 6.00mm.",
SDS01108,"Sapphire Dreams",7.00mm,1.60,"Loose sapphires","ID No.: 01108<br>Colour: GREEN<br>Shape: ROUND<br>Weight: 1.60ct<br>Size: 7.00mm<br>Origin: AUSTRALIA",Round,SDS,1.60,Green,,"An Australian Round cut Green sapphire weighing 1.60ct and measures 7.00mm.",
SDS01109,"Sapphire Dreams",6.00mm,1.02,"Loose sapphires","ID No.: 01109<br>Colour: PARTI<br>Shape: ROUND<br>Weight: 1.02ct<br>Size: 6.00mm<br>Origin: AUSTRALIA",Round,SDS,1.02,Parti,,"An Australian Round cut Parti sapphire weighing 1.02ct and measures 6.00mm.",
